Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
경상남도 창원시 마산합포구 진북면 대티리 461,1408,128.4708272,35.1656073,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.47068989520704,35.16597813711424],[128.47076951413652,35.165921187648074],[128.47077704405893,35.165841740389716],[128.47082435441476,35.165741646389456],[128.4708736715836,35.1656367479964],[128.47091848912387,35.16561793497863],[128.4710146131459,35.16564592788406],[128.47101913501376,35.16548706831029],[128.47102036349216,35.165483819847815],[128.47102170477274,35.16548010318189],[128.47105065221714,35.16542552752939],[128.47102568018326,35.1654087884615],[128.47102382826654,35.16538295693441],[128.47100382612794,35.165385176794636],[128.47089452709255,35.16530876022879],[128.47085517399395,35.16531265293727],[128.47080606723108,35.16537504501029],[128.47076304995556,35.16540736796111],[128.4707186309874,35.165412148789436],[128.4706932545653,35.165520180511024],[128.4706974459734,35.16558461771026],[128.47067844270867,35.16562906070174],[128.47066923801822,35.16566555172409],[128.4706512932816,35.16571769679957],[128.47062862241606,35.16587892848125],[128.4706482188265,35.16591721316591],[128.47067381801764,35.165940489779594],[128.47068989520704,35.16597813711424]]]]}",7797634,5734,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
경상남도 창원시 마산합포구 진북면 예곡리 210,1002,128.4522299,35.1207747,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.45260558384254,35.121088676798934],[128.45192666474023,35.120383145511255],[128.45184099514213,35.12043755900472],[128.4525177161713,35.12114528009673],[128.45260558384254,35.121088676798934]]]]}",7797634,5734,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
경상남도 창원시 마산합포구 진북면 추곡리 739,1445,128.4728565,35.1592523,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.4726376570777,35.15948747766207],[128.47265070867996,35.15947871950005],[128.47273849981167,35.15942635608685],[128.47282831001607,35.15938082457672],[128.47292206752854,35.15932738742171],[128.47310122441894,35.15930793365925],[128.47313764667126,35.1591898994997],[128.47316004847036,35.15909806930338],[128.4731080084121,35.159092163937096],[128.47295588787676,35.15907374407636],[128.47286834319203,35.15908299753911],[128.4728010901062,35.159089148723176],[128.47271808349626,35.15911115783959],[128.4726404202841,35.159250436785584],[128.47252913319255,35.1594465787811],[128.47259670785152,35.159463710815885],[128.4726376570777,35.15948747766207]]]]}",7797634,5734,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
경상남도 창원시 마산합포구 진북면 지산리 100-3,638,128.4748932,35.1179205,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.47504901647244,35.118002859509566],[128.47500817614403,35.11777766057239],[128.4747338892837,35.11780613251076],[128.474774045761,35.11803690791036],[128.47504901647244,35.118002859509566]]]]}",7797634,5741,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
경상남도 창원시 마산합포구 진북면 덕곡리 93-21,840,128.4763236,35.1232575,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.4760719040557,35.12342685589459],[128.4761691847035,35.12344498896228],[128.47616866411164,35.12339107711342],[128.47639754217033,35.12331097447053],[128.47640656013488,35.12325795120287],[128.4764587217555,35.12324481915306],[128.47654067886427,35.12319928647443],[128.47657334592458,35.123170729021545],[128.4765428011918,35.12312325798619],[128.47656454826563,35.12306628784097],[128.4765668790387,35.12302616993996],[128.47654901605924,35.12303346561429],[128.47636238156133,35.12311093032851],[128.476330286949,35.12314259083988],[128.47630884270777,35.12313525110735],[128.47626191649934,35.12318048473448],[128.47619735750945,35.123219350533816],[128.47615522413867,35.12326647968903],[128.47611226084757,35.12328907956691],[128.47605961213318,35.123313133687645],[128.47606043129122,35.12331540863378],[128.4760719040557,35.12342685589459]]]]}",7797634,5741,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
경상남도 창원시 마산합포구 진북면 덕곡리 93-17,674,128.4755633,35.1236299,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.47532444410047,35.12369637073098],[128.47534772836738,35.12371784273699],[128.47543747905908,35.12378613073361],[128.47560979011988,35.12363327071195],[128.47564410616246,35.12365718810073],[128.4756745830772,35.12368955248009],[128.47573382049043,35.12358773180791],[128.47576061355625,35.12353094594103],[128.47576223548285,35.12344071006785],[128.47543508542975,35.12357653904732],[128.47539598165358,35.123642077580364],[128.47532674034386,35.12369243279575],[128.47532444410047,35.12369637073098]]]]}",7797634,5741,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
경상남도 창원시 마산합포구 진북면 정현리 461-6,2743,128.4655384,35.1727171,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.4651903178693,35.17253331465686],[128.4651941390017,35.17254652718378],[128.46518207604845,35.17258984624822],[128.46521821120712,35.17270214186426],[128.46525568719983,35.17278243683347],[128.46531389738317,35.172854657417275],[128.46537124241902,35.172913200822805],[128.46540160991643,35.17295099316777],[128.46540324018852,35.172953479065406],[128.4654501662239,35.172957084749406],[128.46554855758973,35.17304038920399],[128.46560193741544,35.173044131539626],[128.4656144952865,35.172997299400606],[128.46574417870895,35.17290386322074],[128.4657742642873,35.17285411612371],[128.4658313419448,35.17265217999133],[128.46583546787096,35.17262562674057],[128.46585251606112,35.17249161882641],[128.4658348877057,35.17247137791883],[128.4657053574414,35.17245456301582],[128.46565816869193,35.17244754019243],[128.46561296290437,35.172456173378244],[128.46543066480456,35.1724829388917],[128.46531384974747,35.172507389078575],[128.4651903178693,35.17253331465686]]]]}",7797634,5731,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
경상남도 창원시 마산합포구 진북면 정현리 630,1593,128.4650692,35.1717532,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.4650494158266,35.172063444412615],[128.4651172929892,35.17206761168521],[128.46513538674887,35.172057055980204],[128.46513616025513,35.17204457584972],[128.46513784451201,35.172030477339646],[128.46511418619923,35.17193558771702],[128.46518256046764,35.17184396276716],[128.46523570982762,35.171740561985445],[128.46528202256383,35.17171708877115],[128.4653177116756,35.17170331200708],[128.4653945282231,35.17169343975727],[128.46537879929122,35.17165143983121],[128.4653539030855,35.17161634866563],[128.4652542627368,35.17157142657532],[128.46520835020695,35.17156404869084],[128.46514889282525,35.171561559183196],[128.46507913864377,35.17155744671317],[128.46496324109745,35.17156940806439],[128.4648711065602,35.17156333960231],[128.46478070484412,35.1715591805734],[128.46478842183686,35.171590905864925],[128.46479387314838,35.17160659529846],[128.4648297329549,35.17168881211731],[128.46488553828047,35.17176266270055],[128.46491475775522,35.17183976652594],[128.46492055267905,35.171853285246385],[128.46494865149228,35.17192052344302],[128.46498321074387,35.171966816066686],[128.46503795116294,35.172002291830935],[128.4650494158266,35.172063444412615]]]]}",7797634,5731,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
경상남도 창원시 마산합포구 진북면 정현리 447,1498,128.4654666,35.1721873,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.46514206906303,35.17243195273342],[128.46522626593284,35.17242664700585],[128.46541646468708,35.17239362540736],[128.46566941459392,35.172326251582255],[128.46572431350347,35.17230250070661],[128.46565694119255,35.17227655963916],[128.46562695252123,35.17215426843274],[128.4656191400108,35.17207178833375],[128.4656123524449,35.17200207573734],[128.46560685884694,35.17195599297786],[128.4656201804931,35.17191820464505],[128.46563322886777,35.17185346504315],[128.46566688882479,35.17179426069094],[128.4656184970686,35.17176988174206],[128.46554078305286,35.17176093920253],[128.46549924081185,35.17175667235611],[128.46551342358904,35.17179341962875],[128.4654895580593,35.171944180294055],[128.46545682067043,35.17203171778397],[128.46544958138028,35.17209777198216],[128.46543912630142,35.172233999272926],[128.4654179925745,35.17226619175119],[128.46526576930177,35.172228193631646],[128.46521292777285,35.172231159499894],[128.46520817353155,35.172233004228595],[128.46518579025462,35.17224483888508],[128.46515297722885,35.172300360366776],[128.46514451434956,35.17240727586575],[128.46514206906303,35.17243195273342]]]]}",7797634,5731,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
경상남도 창원시 마산합포구 진북면 정현리 643-1,2023,128.4640441,35.1717344,"{""type"":""MultiPolygon"",""coordinates"":[[[[128.46361621474514,35.17191418265407],[128.4636942136566,35.17192819322126],[128.46379214538356,35.171945789402436],[128.4639031613069,35.17192510958728],[128.463978620062,35.17189142783206],[128.46406992264846,35.17189051691464],[128.4641510188388,35.17188925420608],[128.46421514329086,35.17187314322342],[128.46426577539165,35.17184390295379],[128.46432687206362,35.17176406278239],[128.4643927959004,35.17168462254093],[128.46443385548775,35.171647083490555],[128.46444497311307,35.17158563436258],[128.46423844731947,35.17159614770099],[128.46416860177283,35.17157755878567],[128.46408157082433,35.17154157886537],[128.46403454969166,35.17151085092023],[128.463954115024,35.171485040242196],[128.46386085196883,35.17148368001225],[128.46378333317034,35.17148684220563],[128.4637762876521,35.17148824406618],[128.4638530000398,35.17162261372542],[128.46386799215944,35.17167637305964],[128.46386237052678,35.17172828330648],[128.4638466814619,35.17177540783028],[128.46379940524446,35.171810106909845],[128.46371742154284,35.17183614327122],[128.46370928573188,35.17183808109201],[128.46369172820775,35.171862204125944],[128.4636555147663,35.171887208773434],[128.46361621474514,35.17191418265407]]]]}",7797634,5731,DONE,7/8/22 9:00,7/10/22 9:00,7/5/22 15:58
