Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
경기도 화성시 우정읍 호곡리 432-14,912,126.7734356,37.12146573,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77319710844976,37.12143288330922],[126.7732907636291,37.12163826985521],[126.77368988384048,37.12154800383055],[126.77367109674269,37.1214977699622],[126.77362026142033,37.121361766153385],[126.77362272226644,37.121336622439934],[126.77319710844976,37.12143288330922]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 270-6,2988,126.7640557,37.12149159,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.76437694370291,37.1220396508269],[126.76446462837208,37.12200519863132],[126.76443281144425,37.121982013954494],[126.76434796538078,37.12177381777793],[126.76431930623838,37.121744782530534],[126.76427291097463,37.121568686691035],[126.76422383461411,37.121480167984934],[126.76422030384576,37.1214072746],[126.76417532322355,37.12138011688726],[126.76415399397959,37.121338841925294],[126.76410279659397,37.121234190039495],[126.76403020152341,37.12114268671689],[126.763938417539,37.121005659655374],[126.76373093485992,37.12110373804957],[126.76361437703187,37.12119592543523],[126.7636412280192,37.12122729996996],[126.76368860241485,37.12123372941668],[126.76372028823344,37.121269880210555],[126.7637929684611,37.121384450893],[126.7638341234921,37.121407906757575],[126.76389502664806,37.12148886244637],[126.76395308696723,37.121593789473486],[126.76400849874629,37.121653298007836],[126.7641091971853,37.12176815888393],[126.764165459053,37.12187263167456],[126.76417856776153,37.121930397498296],[126.76418344709477,37.121993021554054],[126.76419547474643,37.12201140912225],[126.76426972535927,37.12201983840482],[126.76433893039413,37.12201529137169],[126.76437694370291,37.1220396508269]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 324-11,565,126.7802332,37.12054269,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.78005761654389,37.120502535629086],[126.7801491566644,37.1205669157544],[126.78025683950091,37.120690777551225],[126.78026525095424,37.12072349253812],[126.7803814030073,37.120697875964126],[126.78030529895098,37.12047932724662],[126.78021100115387,37.12034952548685],[126.78008407995189,37.12047605798738],[126.78005761654389,37.120502535629086]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 356-10,772,126.7786059,37.1198571,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77875519333418,37.12022906755786],[126.778855019227,37.12021082847772],[126.77876142846429,37.120048048269894],[126.77867087807353,37.11989229291866],[126.778568042133,37.11962480156266],[126.7785985854677,37.11956156886425],[126.7785025573372,37.11950135999009],[126.77847204652774,37.1195036183137],[126.77846148786739,37.119620149953604],[126.77849088467507,37.11970999540768],[126.77854244218597,37.119821039305045],[126.77858036994178,37.1199333280408],[126.77875519333418,37.12022906755786]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 390-2,684,126.7739276,37.12143595,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.7739183067477,37.12162658198885],[126.77404574039804,37.1214494268381],[126.77406590737769,37.12142213652918],[126.77405217151832,37.12130823485647],[126.77383999374763,37.12126855064739],[126.77376942617244,37.121277605886355],[126.77380537139041,37.121467392038696],[126.77381399072985,37.12151245232656],[126.7739183067477,37.12162658198885]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 433,702,126.7729893,37.12111959,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77300345474221,37.120957996700135],[126.77291394217674,37.121022006303455],[126.77282859389344,37.12119414145352],[126.7728501448566,37.12124930054714],[126.77297386305578,37.121313081467065],[126.77301081192354,37.12127309177649],[126.77300814913916,37.12122308710636],[126.77311329321125,37.12118089505475],[126.77311194109637,37.12105789844821],[126.77318350114587,37.120950621508],[126.77300345474221,37.120957996700135]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1195-9,478,126.7698282,37.12277722,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.76982416329086,37.122870578039226],[126.76987446500885,37.122758783355216],[126.76993576376863,37.122671690013824],[126.77001732390949,37.12258226642587],[126.77000071086738,37.122535676493555],[126.76987437016518,37.12262371507612],[126.76979699134276,37.12269981112735],[126.76975993364711,37.12273411393559],[126.76972215641159,37.12281987455607],[126.7697069432161,37.12295267828806],[126.76975753375301,37.12300830016944],[126.76978372511806,37.12302823763589],[126.76982416329086,37.122870578039226]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 284,2280,126.7687279,37.12294511,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.7689403975806,37.12321078902674],[126.76897149013497,37.123177105517605],[126.76898243433061,37.123141796631515],[126.76893500449303,37.12309410089112],[126.76891849067445,37.12305939591666],[126.7689190969242,37.123019390282074],[126.76895787140458,37.122953734406146],[126.76897128851668,37.12293031528029],[126.76897583486502,37.12288237908077],[126.76894686418514,37.12281468909977],[126.76894408542287,37.12278874228655],[126.76897639112853,37.12277776772974],[126.76898193906476,37.12274082635967],[126.76886530341389,37.12268686767343],[126.7687370694519,37.12264669026003],[126.76869383257004,37.122666662845134],[126.7686248513449,37.12267517749924],[126.76855393494591,37.12269829440672],[126.7685287008933,37.12272962855799],[126.76850904559703,37.12280215186324],[126.76852541420566,37.122869474787514],[126.76851700991881,37.12294614703013],[126.76853754917633,37.12299643920447],[126.76845660644557,37.12314803574392],[126.76843820008537,37.12320217997391],[126.7685019946178,37.123211946644645],[126.76857796450552,37.1231996523538],[126.7686539121029,37.12320564937805],[126.76891667876247,37.12318085451956],[126.7689403975806,37.12321078902674]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 350-3,384,126.7793772,37.11978727,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77908541231307,37.119743306867235],[126.7792027296484,37.11979212079356],[126.7792536721082,37.1198290964864],[126.77951579995327,37.11988690367149],[126.7795676417598,37.11978160428671],[126.77927029410237,37.119739625822625],[126.77917826121165,37.11972507244527],[126.77913238061063,37.119692512373454],[126.77908541231307,37.119743306867235]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 349,1020,126.7792462,37.12106563,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77961102222123,37.12075575318343],[126.77950286549121,37.12065964241385],[126.77936146249921,37.1208819471948],[126.77927459967056,37.12099984065715],[126.7791909262979,37.121085121840025],[126.77887464281389,37.12132526325748],[126.77884511636765,37.121379217050354],[126.77900228369896,37.12140768808745],[126.7794402795328,37.120952899748026],[126.77961102222123,37.12075575318343]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
