Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
경기도 화성시 양감면 용소리 59,1202,126.9903258,37.07667991,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.99038816957432,37.076233612506414],[126.99024978060977,37.07623502313983],[126.99026591036957,37.077125744237065],[126.99039927414589,37.077123990710746],[126.99038816957432,37.076233612506414]]]]}",186696260,12413,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 961-2,1465,126.9691125,37.08816474,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.96942089860157,37.088197874347294],[126.96937112129078,37.08816251221084],[126.9693023464146,37.088128974052914],[126.96922682419694,37.08809301016219],[126.96917608810313,37.08809099598681],[126.96890604229651,37.08795061771138],[126.9688392562443,37.0878963554039],[126.96881459666375,37.08788268850986],[126.96878245579957,37.08789938533716],[126.96872539122127,37.08794116984762],[126.96874341462444,37.087955384575125],[126.96876971879377,37.08801563684348],[126.9688037473428,37.08805578854208],[126.9688777585148,37.08812653327956],[126.96896546403939,37.08818293682095],[126.96898483711308,37.08819743121068],[126.96911789591043,37.08827189533589],[126.96919638922014,37.0883304767594],[126.96921802935555,37.08835675761851],[126.96925443988519,37.08840366779859],[126.96930711583485,37.08850002365189],[126.96936029495693,37.088417257515566],[126.96940696356647,37.088276731520835],[126.96942089860157,37.088197874347294]]]]}",186696260,12407,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 1029,1448,126.96458,37.08366921,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.96496979482832,37.08417030719147],[126.96494918683274,37.084084627811336],[126.96489259929037,37.084001334152866],[126.96482730916705,37.08388993363247],[126.96468710474656,37.083778347653514],[126.96463433463678,37.08368622463851],[126.96458861933873,37.08365752058466],[126.96451023836663,37.08359326841813],[126.96446820248592,37.08353807422231],[126.96450332059341,37.08341026944024],[126.96457807881511,37.083314500760835],[126.96460835724096,37.08326319466133],[126.96459772554928,37.0832241933592],[126.96453064428388,37.08326003476458],[126.96439916964049,37.08326223735585],[126.96435066856353,37.08338861424001],[126.96430478107213,37.08352877818028],[126.96431088782015,37.08362131022094],[126.96438905917321,37.08363078685429],[126.964448036214,37.08365550342139],[126.96456446422974,37.08381388347628],[126.96473363110408,37.08396761226928],[126.96479822194893,37.08405963977754],[126.96494000185773,37.08417069447867],[126.96496979482832,37.08417030719147]]]]}",186696260,12407,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 용소리 623,191,126.986308,37.08076704,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98642970891744,37.08071168642388],[126.98625221256933,37.08069216472873],[126.98623943126385,37.08077579976674],[126.9862381930973,37.0808372521138],[126.98628414915204,37.080875400021576],[126.98633767266035,37.080807484737406],[126.98642970891744,37.08071168642388]]]]}",186696260,12409,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 979-4,331,126.9692175,37.08662421,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.96926095714542,37.08647990200238],[126.96923243508077,37.08650479059518],[126.96908125960796,37.086669202233445],[126.96911447494907,37.08668990870731],[126.9691238089932,37.086692524336215],[126.96917472205841,37.086725850494055],[126.9692277917194,37.086686452486354],[126.9693727009725,37.086578355353765],[126.96938954992356,37.08657668394115],[126.96926095714542,37.08647990200238]]]]}",186696260,12407,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 150,2832,126.9889763,37.08852183,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98954510822854,37.08847115425394],[126.98941884963699,37.08822600754205],[126.98840210208121,37.08858018815373],[126.98852248877301,37.08881372961291],[126.98954510822854,37.08847115425394]]]]}",186696260,12410,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 송산리 1008-2,321,126.9924384,37.09910785,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.99250274331104,37.09895994784936],[126.99239061340405,37.09895968698941],[126.99237646303801,37.09904626879165],[126.99236960895627,37.09916863225931],[126.99240412675388,37.09921420153392],[126.99250404973579,37.099232257397034],[126.99250274331104,37.09895994784936]]]]}",186696260,12385,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 890,1098,126.9662683,37.09109974,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.96645981117041,37.09116940483295],[126.96635363053491,37.09102551893967],[126.96625051272719,37.09089938477099],[126.96615484509383,37.09078928261611],[126.96611918966897,37.09086177139756],[126.96614550872891,37.090936080782505],[126.96609800972392,37.09105597087167],[126.96615855026882,37.09114258995191],[126.96622516525174,37.091228210628735],[126.96631743334605,37.09132120055269],[126.9663934779245,37.09132598970388],[126.96647640069664,37.09134274693445],[126.96656929010736,37.09133283562304],[126.9664998290463,37.091222525215734],[126.96645981117041,37.09116940483295]]]]}",186696260,12407,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 송산리 548-4,920,126.9935059,37.1118289,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.99376228524339,37.11163762716322],[126.99357383232665,37.11153855234551],[126.99350344992375,37.11161775966523],[126.99340684687786,37.11175294791407],[126.99334487263418,37.111898689862535],[126.99354450022307,37.1119794562825],[126.99367992775285,37.11175823743817],[126.99373017028876,37.111686399354895],[126.99376228524339,37.11163762716322]]]]}",186696260,12384,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 용소리 797,2791,126.9796083,37.08135168,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98014683427924,37.081264415887496],[126.97906646833361,37.08116816312772],[126.97911267673658,37.08144572631209],[126.98011387414088,37.081534026032195],[126.98013330912192,37.081329479215],[126.98014683427924,37.081264415887496]]]]}",186696260,12411,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 용소리 1100-1,2436,126.9758697,37.07800846,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.9758975333611,37.07763133433946],[126.9758622682994,37.077659124534115],[126.97571883781424,37.077761733597896],[126.97561872096603,37.07781311747086],[126.97550396757576,37.07784774727984],[126.97557025129733,37.077945175771994],[126.97564703369355,37.07805781646715],[126.97571158568405,37.078122707095275],[126.97580521834274,37.07822505219128],[126.97583080186713,37.078261253452496],[126.97591516615202,37.07833621313327],[126.97593071372837,37.07835277803328],[126.97617477719979,37.07823942254529],[126.97617093471638,37.07822852786681],[126.97611668074231,37.078070722022176],[126.97606679468007,37.07796742242026],[126.9758975333611,37.07763133433946]]]]}",186696260,12411,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 1009,2152,126.9672515,37.08501555,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.96716461557875,37.08515246327675],[126.96730346857666,37.08533181481715],[126.96744976535807,37.08531534944669],[126.96759673572673,37.08530150617987],[126.96766982434872,37.085288452635304],[126.9677094716476,37.085259215451906],[126.9677062078441,37.08518812970702],[126.9675296895085,37.08508144754862],[126.96748149919941,37.085049959624165],[126.96736438938215,37.08496465843424],[126.96723353555905,37.08485558312903],[126.96718139038056,37.08481572306825],[126.96705384141423,37.084736464676645],[126.96697868464851,37.084648418027776],[126.96688961753148,37.08465526717605],[126.9669020672675,37.08470598260655],[126.96696527767621,37.08484828780806],[126.96704489103459,37.08498021749942],[126.96716461557875,37.08515246327675]]]]}",186696260,12407,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 용소리 754,2109,126.9829642,37.08377645,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98270823007347,37.08349678219855],[126.98253481551207,37.0837289674637],[126.98313275569504,37.08402511472879],[126.98331266025504,37.083926728392555],[126.98344918979895,37.08385814234085],[126.98270823007347,37.08349678219855]]]]}",186696260,12425,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 387,2324,126.9858212,37.08995347,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98536005880152,37.0902242059025],[126.98639010325823,37.08987097225038],[126.98629083532308,37.08968312422311],[126.98546161353053,37.089960902414994],[126.98525638554224,37.09002848114176],[126.98536005880152,37.0902242059025]]]]}",186696260,12410,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 507,1538,126.9846487,37.08857613,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98513536466945,37.08833573870341],[126.98502620860009,37.08823114633413],[126.98416346766318,37.088812712901664],[126.9842749286663,37.08891930674679],[126.98513536466945,37.08833573870341]]]]}",186696260,12425,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 송산리 1006-5,4010,126.9933187,37.10038372,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.9930931852816,37.09993292005755],[126.99309279320184,37.10083401622596],[126.99354315764198,37.1008339301733],[126.99354579410289,37.09993390641528],[126.9930931852816,37.09993292005755]]]]}",186696260,12385,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 용소리 767-2,1885,126.9819487,37.08430108,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.9822401015847,37.084501887534365],[126.98214198722238,37.08435666532435],[126.98205374210329,37.084190242645],[126.98200551410311,37.08406508613853],[126.98199424633539,37.08405917331488],[126.981819249329,37.08396048705369],[126.98177062030362,37.08395267577101],[126.98170082193005,37.08412911022506],[126.9817544701012,37.08425555627614],[126.98182083664386,37.08438965443277],[126.98194408579822,37.0846277535729],[126.98195300066192,37.08464296497846],[126.98197692676813,37.0846273535057],[126.9822401015847,37.084501887534365]]]]}",186696260,12425,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 용소리 287,1541,126.9842029,37.07619285,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98411326117849,37.07595042012121],[126.98394816849655,37.07612892358871],[126.98392838312172,37.076196437373405],[126.98388215159352,37.076248304760256],[126.98399568951932,37.07628853605053],[126.98427060077185,37.076386521943654],[126.98433299448652,37.07637401521485],[126.98440641029957,37.07630526563832],[126.9845128664696,37.076283249923016],[126.98451821667892,37.07619457699667],[126.98442832376992,37.07612375849385],[126.98436691559482,37.07610537694669],[126.98422847376766,37.07604291314083],[126.9841703247592,37.0759846598897],[126.98411326117849,37.07595042012121]]]]}",186696260,12413,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 236,1027,126.9745318,37.09747208,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.97456496632041,37.09702686094696],[126.97438181661273,37.097905812801],[126.97449491812947,37.09792134586379],[126.97468262126526,37.09704531430347],[126.97456496632041,37.09702686094696]]]]}",186696260,12386,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 282,3507,126.9752974,37.09217099,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.97485832647352,37.09251413448052],[126.9748586750964,37.09251432378172],[126.97513283938176,37.09266331247293],[126.97541138781308,37.09233087343742],[126.975570161993,37.09214082936414],[126.97575032608084,37.091926136678126],[126.97541826876554,37.09174837479584],[126.97532772748345,37.091767970955495],[126.97525076758315,37.091772558369335],[126.97521281130071,37.091789273662016],[126.97519243200294,37.091848703155165],[126.97517736681581,37.09199091433631],[126.97515367835871,37.09208911575815],[126.9751229855868,37.09214550636767],[126.97508983964741,37.09220495102043],[126.97506183824309,37.092252160397],[126.97501574361203,37.0923177563895],[126.97485832647352,37.09251413448052]]]]}",186696260,12408,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 142,1094,126.9734996,37.10360785,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.97355963480514,37.10392157631813],[126.97358841982316,37.103715204407685],[126.9736037220979,37.10358515807359],[126.97358460222995,37.10338874960255],[126.97358424071798,37.10323962414153],[126.97342862997405,37.10322528758653],[126.97346069384612,37.10349331537076],[126.97343980818826,37.10384583198453],[126.97329231448246,37.10384239098298],[126.97328311701972,37.1039204295653],[126.97352780634067,37.10392972340295],[126.97355963480514,37.10392157631813]]]]}",186696260,12386,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
